img_name,h_mean,s_mean,v_mean,Radiation Value
IMG_3741,78.596,151.886,210.352,-3.6342
IMG_3742,78.443,150.339,212.183,-4.1804
IMG_3743,78.417,149.804,212.515,-4.7372
IMG_3744,78.594,151.046,211.821,-5.0436
IMG_3745,78.935,155.409,206.43,-2.217
IMG_3746,79.216,156.071,206.974,-2.7827
IMG_3747,79.266,157.009,206.009,-3.4515
IMG_3748,79.088,156.867,204.718,-2.42
IMG_3749,85.432,150.138,225.267,-8.7393
IMG_3750,86.595,168.282,208.606,-15.756
IMG_3751,85.352,147.838,228.724,-8.7164
IMG_3752,85.664,152.65,225.225,-7.5234
IMG_3753,85.301,147.628,229.334,-9.156
IMG_3754,85.775,155.138,221.478,-10.5864
IMG_3755,85.272,151.931,225.07,-10.0384
IMG_3756,85.105,152.729,224.749,-11.677
IMG_3757,85.155,154.139,223.658,-14.4684
IMG_3758,85.376,159.576,217.945,-13.3589
IMG_3759,85.247,162.602,215.224,-8.3267
IMG_3760,84.964,156.458,220.89,-8.3382
IMG_3761,84.895,157.687,219.505,-7.9216
IMG_3762,84.986,164.983,212.652,-8.2561
IMG_3763,85.011,168.481,208.378,-10.0415
IMG_3764,85.088,176.511,199.196,-9.0869
IMG_3765,85.173,178.988,195.098,-9.8919
IMG_3766,84.616,171.309,202.46,-8.3469
IMG_3767,84.588,171.443,202.278,-7.8607
IMG_3768,84.65,177.785,195.491,-9.1125
IMG_3769,84.528,178.204,193.143,-12.5119
IMG_3770,82.367,164.599,204.168,-9.5244
IMG_3771,82.072,163.597,203.537,-10.2144
IMG_3772,80.871,156.085,210.937,-7.4234
IMG_3773,82.282,172.933,189.358,-8.0682
IMG_3774,82.62,175.512,183.786,-10.3453
IMG_3775,81.907,168.172,194.132,-7.7509
IMG_3776,82.519,176.672,177.689,-11.2422
IMG_3777,81.863,176.038,181.801,-12.5944
IMG_3778,81.892,177.401,177.567,-10.4801
IMG_3779,82.052,180.624,169.131,-8.4099
IMG_3780,81.896,179.66,166.56,-8.8216
IMG_3781,81.418,176.703,176.328,-6.6548
IMG_3782,80.043,164.264,197.772,-5.4693
IMG_3783,79.433,155.48,206.931,-5.046
IMG_3784,78.864,152.941,209.276,-4.7937
IMG_3785,78.385,148.126,214.958,-4.766
IMG_3786,77.664,147.754,213.616,-4.7468
IMG_3787,78.001,153.318,207.8,-4.8323
IMG_3788,77.755,146.194,215.503,-4.7103
IMG_3789,78.058,150.281,210.883,-4.8791
IMG_3790,77.889,145.097,217.454,-4.4625
IMG_3791,78.342,153.321,203.473,-5.3134
IMG_3792,78.402,161.621,191.518,-7.3798
IMG_3793,78.862,165.449,186.827,-6.8189
IMG_3794,78.805,162.388,193.398,-7.2801
IMG_3795,79.058,163.445,193.628,-7.0509
IMG_3796,78.925,160.049,198.464,-6.7747
IMG_3797,78.591,155.512,204.721,-6.5251
IMG_3798,84.548,125.22,242.14,-7.2186
IMG_3799,84.657,126.336,241.276,-7.3408
IMG_3800,84.839,175.878,195.611,-16.4351
IMG_3801,83.36,165.462,205.953,-17.5504
IMG_3802,81.42,149.113,220.345,-7.3921
IMG_3803,81.138,147.071,222.141,-9.876
IMG_3804,81.642,151.8,216.518,-9.2475
IMG_3805,81.999,156.237,212.896,-9.434
IMG_3806,82.174,158.267,210.742,-11.8454
IMG_3807,81.78,158.991,208.721,-15.9692
IMG_3808,81.165,157.773,208.39,-9.5588
IMG_3809,81.434,160.231,206.349,-9.7685
IMG_3810,81.765,164.109,199.76,-9.7146
IMG_3811,80.768,158.49,205.584,-9.3719
IMG_3812,80.841,160.153,203.199,-7.7286
IMG_3813,80.324,159.576,202.532,-8.3991
IMG_3814,80.422,160.89,200.567,-7.0149
IMG_3815,79.855,158.982,201.871,-7.7242
IMG_3816,79.976,158.501,201.84,-7.213
IMG_3817,80.255,163.628,193.756,-10.3422
IMG_3818,79.743,160.414,197.271,-8.4665
IMG_3819,79.692,164.003,192.767,-8.6374
IMG_3820,80.116,166.131,185.817,-8.4624
IMG_3821,79.806,165.959,184.438,-9.0013
IMG_3822,79.435,167.37,183.044,-11.0139
IMG_3823,80.019,169.203,173.871,-10.7676
IMG_3824,79.049,166.638,180.802,-10.9097
IMG_3825,78.921,165.065,184.373,-11.4468
IMG_3826,79.502,169.57,170.749,-17.0065
IMG_3827,79.362,168.716,172.739,-15.3046
IMG_3828,79.605,170.211,166.213,-15.7559
IMG_3829,87.992,188.206,195.273,-15.4641
IMG_3830,87.983,187.317,194.824,-15.3642
IMG_3831,86.857,171.96,209.49,-12.8067
IMG_3832,86.804,168.705,212.976,-10.5223
IMG_3833,86.434,163.019,217.065,-10.7796
IMG_3834,86.532,165.397,215.784,-11.1713
IMG_3835,86.312,162.706,218.01,-11.5771
IMG_3836,87.914,186.203,195.711,-17.9135
IMG_3837,87.641,185.313,195.821,-13.114
IMG_3838,86.547,175.165,205.428,-12.6663
IMG_3839,87.188,182.658,197.922,-15.9857
IMG_3840,85.687,159.79,219.927,-7.7155
IMG_3841,85.782,163.094,216.872,-9.0538
IMG_3842,86.04,170.52,210.543,-8.8537
IMG_3843,85.734,170.838,209.662,-8.614
IMG_3844,86.793,188.895,190.84,-10.5603
IMG_3845,85.278,169.344,209.161,-7.7724
IMG_3846,85.195,174.706,203.751,-7.415
IMG_3847,83.932,160.265,215.539,-8.6572
IMG_3848,84.313,168.266,207.575,-7.1558
IMG_3849,83.157,156.442,218.186,-6.6094
IMG_3850,84.101,171.06,204.126,-5.8041
IMG_3851,84.442,174.231,201.552,-6.1457
IMG_3852,84.114,174.385,199.941,-8.213
IMG_3853,84.689,182.177,192.259,-8.721
IMG_3854,84.787,184.958,190.048,-8.225
IMG_3855,81.917,158.119,212.305,-6.7614
IMG_3856,80.975,155.514,212.711,-4.9442
IMG_3857,80.182,150.745,217.043,-4.158
IMG_3858,82.302,168.332,200.622,-3.4055
IMG_3859,82.741,172.557,196.369,-5.2461
IMG_3860,81.045,163.929,201.584,-4.1263
IMG_3861,79.759,149.041,217.026,-2.7338
IMG_3862,78.73,144.519,220.736,-3.0352
IMG_3863,79.824,152.434,213.06,-2.9492
IMG_3864,78.943,147.204,217.766,-2.679
IMG_3865,79.404,151.536,213.016,-2.4886
IMG_3866,80.349,163.199,198.542,-3.1983
IMG_3867,81.935,175.708,185.183,-6.4265
IMG_3868,80.949,167.559,194.635,-5.7229
