Year,Month,Day,Time,Min,image_name,Clear,Cirrus,Cirrostratus,Stratus,Stratocumulus,Cumulus,Cirrocumulus,Nimbus,Clear_weighted,Cirrus_weighted,Cirrostratus_weighted,Stratus_weighted,Stratocumulus_weighted,Cumulus_weighted,Cirrocumulus_weighted,Nimbus_weighted,label,Temperature(C),Absolute_Humidity(g/m^3),Radiation Value
2021,11,2,1,0,IMG_0588,0.82,0,0,0.18,0,0,0,0,0.632497641,0,0,0.082877396,0,0,0,0,1,21,12.82185844,-23.9749
2021,11,2,1,10,IMG_0589,0.807,0,0,0.193,0,0,0,0,0.624362748,0,0,0.087986982,0,0,0,0,1,21,12.82185844,-23.1971
2021,11,2,1,20,IMG_0590,0.825,0,0,0.175,0,0,0,0,0.645120868,0,0,0.081535517,0,0,0,0,1,20.9,12.92975085,-24.2585
2021,11,2,1,30,IMG_0591,0.825,0,0,0.175,0,0,0,0,0.640966842,0,0,0.081257452,0,0,0,0,1,21,12.82185844,-24.3873
2021,11,2,1,40,IMG_0592,0.801,0,0,0.199,0,0,0,0,0.629031686,0,0,0.090374715,0,0,0,0,1,21.1,13.08068321,-23.3044
2021,11,2,1,50,IMG_0593,0.814,0,0,0.186,0,0,0,0,0.642150646,0,0,0.087035577,0,0,0,0,1,21,13.00502784,-23.8029
2021,11,2,2,0,IMG_0594,0.82,0,0,0.18,0,0,0,0,0.636631611,0,0,0.084152141,0,0,0,0,1,21.1,13.08068321,-23.3529
2021,11,2,2,10,IMG_0595,0.827,0,0,0.173,0,0,0,0,0.644894186,0,0,0.082772228,0,0,0,0,1,21,13.18819725,-23.4336
2021,11,2,2,20,IMG_0596,0.817,0,0,0.183,0,0,0,0,0.632696079,0,0,0.087996499,0,0,0,0,1,20.8,13.21695914,-22.3953
2021,11,2,2,30,IMG_0597,0.768,0,0.011,0.214,0.001,0,0.006,0,0.595832332,0,0.00426241,0.103019599,0.00064683,0,0.002646236,0,1,21,13.37136666,-21.9552
2021,11,2,2,40,IMG_0598,0.521,0,0.001,0.401,0,0,0.076,0,0.4032327,0,0.000300661,0.179273039,0,0,0.015152539,0,1,21,13.37136666,-21.21
2021,11,3,21,40,IMG_0666,0.562,0,0.017,0.262,0.001,0.026,0.131,0,0.38855616,0,0.007764603,0.14560332,0.000516031,0.010014761,0.048383,0,1,22.1,14.83433999,-20.0193
2021,11,3,21,50,IMG_0667,0.668,0,0.082,0.251,0,0,0,0,0.465346552,0,0.038932497,0.141843036,0,0,0,0,1,22,14.74921292,-23.0745
2021,11,3,22,0,IMG_0668,0.696,0.025,0.065,0.21,0,0,0.004,0,0.490137808,0.013647927,0.033686223,0.118360374,0,0,0.002421229,0,1,22,14.94328151,-22.7
2021,11,3,22,10,IMG_0669,0.644,0.006,0.03,0.231,0,0.02,0.069,0,0.453948227,0.003506107,0.016168337,0.131377088,4.24E-06,0.01178883,0.038329207,0,1,21.9,14.85746203,-23.2423
2021,11,3,22,20,IMG_0670,0.665,0.008,0.019,0.306,0,0,0.001,0,0.482060712,0.005066076,0.010554447,0.164903696,0,0,0.000460532,0,1,21.9,14.66450798,-22.9887
2021,11,3,22,30,IMG_0671,0.573,0,0.047,0.352,0,0.017,0.011,0,0.417983361,0,0.02537669,0.182369524,0,0.003874256,0.00289348,0,1,21.9,14.66450798,-22.4044
2021,11,4,23,10,IMG_0702,0.777,0,0,0.223,0,0,0,0,0.57560305,0,0,0.114975811,0,0,0,0,1,22,16.68989883,-20.6929
2021,11,4,23,20,IMG_0703,0.8,0,0.003,0.197,0,0,0,0,0.596714363,0,0.002028598,0.104797085,0,0,0,0,1,22,16.68989883,-20.565
2021,11,4,23,30,IMG_0704,0.76,0,0,0.24,0,0,0,0,0.570871807,0,1.35E-06,0.12407811,0,0,0,0,1,22,16.68989883,-20.4486
2021,11,4,23,40,IMG_0705,0.745,0,0,0.255,0,0,0,0,0.559551457,0,3.00E-06,0.130688131,0,0,0,0,1,22,16.68989883,-21.1255
2021,11,4,23,50,IMG_0706,0.753,0,0,0.247,0,0,0,0,0.574709623,0,0,0.125378809,0,0,0,0,1,22,16.68989883,-20.5318
2021,11,5,0,0,IMG_0707,0.773,0,0,0.227,0,0,0,0,0.582888236,0,0,0.11623297,0,0,0,0,1,22,16.68989883,-20.2493
2021,11,5,0,10,IMG_0708,0.744,0,0,0.256,0,0,0,0,0.576306618,0,0,0.127394479,0,0,0,0,1,22,16.68989883,-20.8022
2021,11,5,0,20,IMG_0709,0.806,0,0,0.194,0,0,0,0,0.618428042,0,2.09E-06,0.102306926,0,0,0,0,1,22.1,16.78622683,-20.2614
2021,11,5,0,30,IMG_0710,0.771,0,0,0.229,0,0,0,0,0.597091083,0,0,0.117948986,0,0,0,0,1,22,16.49583024,-20.496
2021,11,5,0,40,IMG_0711,0.751,0,0,0.249,0,0,0,0,0.580746845,0,0,0.127399902,0,0,0,0,1,22,16.68989883,-19.8184
2021,11,5,0,50,IMG_0712,0.726,0,0,0.274,0,0,0,0,0.563028553,0,0,0.138726255,0,0,0,0,1,21.9,16.5940485,-19.6197
2021,11,5,1,0,IMG_0713,0.707,0,0,0.293,0,0,0,0,0.547216962,0,0,0.144716752,0,0,0,0,1,21.7,16.59451457,-20.697
2021,11,5,1,10,IMG_0714,0.735,0,0,0.265,0,0,0,0,0.570091384,0,0,0.133940542,0,0,0,0,1,21.7,16.59451457,-20.3755
2021,11,5,1,20,IMG_0715,0.737,0,0,0.263,0,0,0,0,0.57228312,0,0,0.134769163,0,0,0,0,1,21.8,16.69051893,-19.1136
2021,11,5,1,50,IMG_0718,0.712,0,0,0.288,0,0,0,0,0.55501588,0,0,0.141819614,0,0,0,0,1,21.6,16.68863104,-19.7229
2021,11,5,2,10,IMG_0720,0.701,0,0,0.299,0,0,0,0,0.541109037,0,0,0.147281355,0,0,0,0,1,21.6,16.68863104,-18.8977
2021,11,5,2,30,IMG_0722,0.669,0,0,0.331,0,0,0,0,0.518970057,0,0,0.161475361,0,0,0,0,1,21.4,16.68428512,-19.3354
2021,11,5,2,50,IMG_0724,0.74,0,0,0.26,0,0,0,0,0.582306866,0,0,0.135025721,0,0,0,0,1,21.5,16.96958871,-18.8246
2021,11,5,19,50,IMG_0731,0.003,0,0.03,0.789,0.14,0.036,0,0,0.00212684,0,0.013086471,0.491994103,0.085441827,0.024728861,0,0,1,23.3,18.60735961,-18.1922
2021,11,7,0,0,IMG_0805,0.59,0,0,0.41,0,0,0,0,0.446798407,0,0,0.199577945,0,0,0,0,1,23,16.03081535,-22.6882
2021,11,7,0,10,IMG_0806,0.648,0,0,0.352,0,0,0,0,0.485921297,0,0,0.170098332,0,0,0,0,1,22.9,15.73511566,-22.9901
2021,11,7,0,20,IMG_0807,0.67,0,0,0.33,0,0,0,0,0.506440956,0,0,0.159933308,0,0,0,0,1,22.8,15.645383,-22.9057
2021,11,7,0,30,IMG_0808,0.675,0,0,0.325,0,0,0,0,0.524211208,0,0,0.159157767,0,0,0,0,1,22.6,15.66811504,-21.8937
2021,11,7,0,40,IMG_0809,0.613,0,0,0.387,0,0,0,0,0.475534593,0,0,0.189129139,0,0,0,0,1,22.5,15.77827971,-22.3728
2021,11,7,0,50,IMG_0810,0.596,0,0,0.404,0,0,0,0,0.453708872,0,0,0.201716572,0,0,0,0,1,22.3,15.79565001,-21.7866
