Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2021.0,12.0,12.0,2.0,50.0,0.0,-2.1335
2021.0,12.0,12.0,3.0,0.0,0.0,-2.0804
2021.0,12.0,12.0,3.0,10.0,0.0,-2.0606
2021.0,12.0,12.0,19.0,30.0,0.0,-5.185
2021.0,12.0,12.0,19.0,40.0,0.0,-4.5579
2021.0,12.0,12.0,19.0,50.0,0.0,-5.1422
2021.0,12.0,12.0,20.0,0.0,0.0,-4.5455
2021.0,12.0,12.0,20.0,10.0,0.0,-4.0802
2021.0,12.0,12.0,20.0,20.0,0.0,-5.2046
2021.0,12.0,12.0,20.0,30.0,0.0,-5.4747
2021.0,12.0,12.0,20.0,40.0,0.0,-5.6866
2021.0,12.0,12.0,21.0,10.0,0.0,-4.1985
2021.0,12.0,12.0,21.0,20.0,0.0,-5.2278
2021.0,12.0,12.0,21.0,30.0,0.0,-4.3193
2021.0,12.0,12.0,21.0,40.0,0.0,-4.517
2021.0,12.0,12.0,21.0,50.0,0.0,-2.823
2021.0,12.0,12.0,22.0,0.0,0.0,-3.1859
2021.0,12.0,12.0,22.0,10.0,0.0,-3.2674
2021.0,12.0,12.0,22.0,20.0,0.0,-3.6504
2021.0,12.0,12.0,22.0,50.0,0.0,-3.3187
2021.0,12.0,12.0,23.0,0.0,0.0,-2.9161
2021.0,12.0,12.0,23.0,10.0,0.0,-2.5492
2021.0,12.0,12.0,23.0,20.0,0.0,-2.7942
2021.0,12.0,12.0,23.0,30.0,0.0,-1.5581
2021.0,12.0,12.0,23.0,40.0,0.0,-1.4464
2021.0,12.0,12.0,23.0,50.0,0.0,-1.7033
2021.0,12.0,13.0,0.0,0.0,0.0,-1.8619
2021.0,12.0,13.0,0.0,30.0,0.0,-2.185
2021.0,12.0,13.0,0.0,40.0,0.0,-1.8004
2021.0,12.0,13.0,0.0,50.0,0.0,-2.0284
2021.0,12.0,13.0,1.0,0.0,0.0,-1.7608
2021.0,12.0,13.0,1.0,10.0,0.0,-1.9065
2021.0,12.0,13.0,1.0,20.0,0.0,-1.6271
2021.0,12.0,13.0,1.0,30.0,0.0,-1.8975
2021.0,12.0,13.0,1.0,40.0,0.0,-2.0235
2021.0,12.0,13.0,2.0,10.0,0.0,-2.0356
2021.0,12.0,13.0,2.0,20.0,0.0,-1.9675
2021.0,12.0,13.0,2.0,30.0,0.0,-1.7573
2021.0,12.0,13.0,2.0,40.0,0.0,-2.4166
2021.0,12.0,13.0,2.0,50.0,0.0,-2.3908
2021.0,12.0,13.0,3.0,0.0,0.0,-2.1636
2021.0,12.0,13.0,3.0,10.0,0.0,-1.962
