Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2022,1,22,2,30,0,-2.1785
2022,1,22,2,40,0,-5.1206
2022,1,22,2,50,0,-4.3963
2022,1,22,3,0,0,-3.4398
2022,1,22,3,10,0,-3.2018
2022,1,22,3,20,0,-3.1971
2022,1,22,3,30,0,-5.8449
2022,1,22,19,30,0,-1.9597
2022,1,22,19,40,0,-1.8277
2022,1,22,19,50,0,-0.8172
2022,1,22,20,0,0,-0.7063
2022,1,22,20,10,0,-0.7125
2022,1,22,20,20,0,-0.7198
2022,1,22,20,30,0,-0.7549
2022,1,22,20,40,0,-0.9241
2022,1,22,20,50,0,-0.972
2022,1,22,21,0,0,-1.3843
2022,1,22,21,10,0,-1.2605
2022,1,22,21,20,0,-1.2003
2022,1,22,21,30,0,-0.6155
2022,1,22,21,40,0,-1.5535
2022,1,22,21,50,0,-0.6693
2022,1,22,22,0,0,-0.6929
2022,1,22,22,10,0,-0.7575
2022,1,22,22,20,0,-0.0969
2022,1,22,22,30,0,-0.6243
2022,1,22,22,40,0,-0.5842
2022,1,22,22,50,0,-0.5707
2022,1,22,23,0,0,-0.5868
2022,1,22,23,10,0,-0.7627
2022,1,22,23,20,0,-0.4412
2022,1,22,23,30,0,-0.4189
2022,1,22,23,40,0,-0.6702
2022,1,22,23,50,0,-0.2594
2022,1,23,0,0,0,-0.6244
2022,1,23,0,10,0,-1.424
2022,1,23,0,20,0,-1.2261
2022,1,23,0,30,0,-1.0643
2022,1,23,0,40,0,-0.6296
2022,1,23,0,50,0,-0.2847
2022,1,23,1,0,0,0.4019
2022,1,23,1,10,0,-1.4298
2022,1,23,1,20,0,-0.7678
2022,1,23,1,30,0,0.2639
2022,1,23,1,40,0,-1.1018
2022,1,23,1,50,0,0.5096
2022,1,23,2,0,0,-0.8977
2022,1,23,2,10,0,-0.9204
2022,1,23,2,20,0,-1.5953
2022,1,23,2,30,0,-1.0452
2022,1,23,2,40,0,-1.0362
